,date,ticker,return,mkt_rf,smb,hml,rmw,cma,rf,excess_return
768,2023-09-30,USMV,-0.0283173535660195,-0.052300000000000006,-0.0178,0.0149,0.0187,-0.0077,0.0043,-0.0326173535660195
769,2023-10-31,USMV,-0.008704086020418278,-0.0315,-0.0403,0.002,0.0241,-0.0069,0.004699999999999999,-0.013404086020418277
770,2023-11-30,USMV,0.06411136430451858,0.0888,-0.002,0.0167,-0.0373,-0.0108,0.0044,0.05971136430451858
771,2023-12-31,USMV,0.027670910186844422,0.048600000000000004,0.0727,0.0489,-0.0297,0.0129,0.0043,0.023370910186844424
772,2024-01-31,USMV,0.021658289001960762,0.0073,-0.0572,-0.023799999999999998,0.0067,-0.0097,0.004699999999999999,0.016958289001960763
773,2024-02-29,USMV,0.02094841678345971,0.0507,-0.008199999999999999,-0.034300000000000004,-0.0206,-0.0217,0.0042,0.016748416783459712
774,2024-03-31,USMV,0.03137537962239367,0.028399999999999998,-0.0121,0.0416,0.013300000000000001,0.011399999999999999,0.0043,0.027075379622393675
775,2024-04-30,USMV,-0.03744924068569999,-0.04650000000000001,-0.0259,-0.0045000000000000005,0.011399999999999999,-0.0031,0.004699999999999999,-0.04214924068569999
776,2024-05-31,USMV,0.02921091650893981,0.0432,0.0059,-0.0131,0.0317,-0.0285,0.0044,0.02481091650893981
777,2024-06-30,USMV,0.01768759402969633,0.027999999999999997,-0.0432,-0.0336,0.005600000000000001,-0.018000000000000002,0.0040999999999999995,0.01358759402969633
778,2024-07-31,USMV,0.036684232997135524,0.012199999999999999,0.0834,0.0562,0.0026,0.0028000000000000004,0.0045000000000000005,0.03218423299713552
779,2024-08-31,USMV,0.04917294385466686,0.0161,-0.0355,-0.011000000000000001,0.0076,0.008199999999999999,0.0048,0.04437294385466686
780,2024-09-30,USMV,0.00437030877969935,0.0173,-0.0092,-0.0276,0.002,-0.0029,0.004,0.00037030877969934997
781,2024-10-31,USMV,-0.014456167176961188,-0.01,-0.0089,0.0086,-0.0148,0.0098,0.0039000000000000003,-0.01835616717696119
782,2024-11-30,USMV,0.05067237268880831,0.0649,0.045899999999999996,0.0016,-0.0231,-0.020499999999999997,0.004,0.046672372688808306
783,2024-12-31,USMV,-0.05660049661415967,-0.0315,-0.0383,-0.03,0.0189,-0.0121,0.0037,-0.06030049661415967
784,2025-01-31,USMV,0.035589548679273886,0.027999999999999997,-0.0123,0.0163,-0.0235,-0.032400000000000005,0.0037,0.031889548679273884
785,2025-02-28,USMV,0.0284937034456616,-0.024300000000000002,-0.049100000000000005,0.049100000000000005,0.0108,0.030600000000000002,0.0033,0.0251937034456616
786,2025-03-31,USMV,-0.006158705066804604,-0.0639,-0.0149,0.028999999999999998,0.021099999999999997,-0.004699999999999999,0.0034000000000000002,-0.009558705066804604
787,2025-04-30,USMV,-0.011958032457445755,-0.0084,-0.018600000000000002,-0.0341,-0.0285,-0.026699999999999998,0.0034999999999999996,-0.015458032457445755
788,2025-05-31,USMV,0.010481866045151778,0.060599999999999994,-0.0072,-0.0288,0.0129,0.025099999999999997,0.0038,0.006681866045151778
789,2025-06-30,USMV,0.007369923921494603,0.048600000000000004,-0.0002,-0.0161,-0.032,0.0144,0.0034000000000000002,0.003969923921494603
